"ID","Age","Sex","Group","N.Sessions","Days","Headphone"
"TIMETIME.001",29,"Female",4,2,20,"Pass"
"TIMETIME.002",29,"Female",2,2,14,"Pass"
"TIMETIME.003",28,"Female",1,2,25,"Pass"
"TIMETIME.004",33,"Female",1,1,NA,"Pass"
"TIMETIME.005",35,"Male",1,1,NA,"Pass"
"TIMETIME.006",33,"Male",1,2,14,"Pass"
"TIMETIME.007",35,"Female",3,1,NA,"Pass"
"TIMETIME.008",34,"Male",2,2,14,"Pass"
"TIMETIME.009",32,"Male",1,2,14,"Pass"
"TIMETIME.010",31,"Male",2,1,NA,"Pass"
"TIMETIME.011",30,"Male",3,2,15,"Pass"
"TIMETIME.012",24,"Female",4,1,NA,"Pass"
"TIMETIME.013",35,"Male",2,2,15,"Pass"
"TIMETIME.014",34,"Female",2,2,14,"Pass"
"TIMETIME.015",24,"Male",1,1,NA,"Pass"
"TIMETIME.016",27,"Female",1,1,NA,"Pass"
"TIMETIME.017",35,"Female",2,2,14,"Pass"
"TIMETIME.018",24,"Female",2,2,14,"Pass"
"TIMETIME.019",30,"Female",3,1,NA,"Pass"
"TIMETIME.020",34,"Male",4,2,14,"Pass"
"TIMETIME.021",27,"Male",1,2,17,"Pass"
"TIMETIME.022",29,"Male",2,2,14,"Pass"
"TIMETIME.023",25,"Female",4,1,NA,"Pass"
"TIMETIME.024",34,"Female",4,1,NA,"Pass"
"TIMETIME.025",32,"Female",1,1,NA,"Pass"
"TIMETIME.026",25,"Female",2,2,16,"Pass"
"TIMETIME.027",35,"Female",1,2,16,"Pass"
"TIMETIME.028",30,"Male",3,2,19,"Pass"
"TIMETIME.029",26,"Prefer not to say",4,2,15,"Pass"
"TIMETIME.030",26,"Male",2,1,NA,"Pass"
"TIMETIME.031",30,"Female",3,2,14,"Pass"
"TIMETIME.032",28,"Female",1,2,23,"Pass"
"TIMETIME.033",19,"Male",3,1,NA,"Pass"
"TIMETIME.034",19,"Male",2,1,NA,"Pass"
"TIMETIME.035",32,"Female",1,2,14,"Pass"
"TIMETIME.036",22,"Female",4,2,14,"Pass"
"TIMETIME.037",24,"Prefer not to say",1,2,14,"Pass"
"TIMETIME.038",25,"Female",3,1,NA,"Pass"
"TIMETIME.039",26,"Female",3,2,21,"Pass"
"TIMETIME.040",25,"Female",4,2,16,"Pass"
"TIMETIME.041",29,"Female",3,2,14,"Pass"
"TIMETIME.042",22,"Female",2,2,14,"Pass"
"TIMETIME.043",35,"Male",3,2,21,"Pass"
"TIMETIME.044",23,"Female",3,1,NA,"Pass"
"TIMETIME.045",25,"Male",3,2,14,"Pass"
"TIMETIME.046",24,"Male",4,1,NA,"Pass"
"TIMETIME.047",27,"Male",2,2,14,"Pass"
"TIMETIME.048",19,"Female",2,1,NA,"Pass"
"TIMETIME.049",25,"Female",2,2,17,"Pass"
"TIMETIME.050",29,"Female",3,2,14,"Pass"
"TIMETIME.051",23,"Male",1,2,14,"Pass"
"TIMETIME.052",25,"Male",4,2,16,"Pass"
"TIMETIME.053",18,"Female",3,2,14,"Pass"
"TIMETIME.054",21,"Female",2,2,19,"Pass"
"TIMETIME.055",23,"Female",3,2,18,"Pass"
"TIMETIME.056",19,"Female",3,1,NA,"Pass"
"TIMETIME.057",20,"Female",1,2,14,"Pass"
"TIMETIME.058",23,"Female",4,1,NA,"Pass"
"TIMETIME.059",22,"Female",4,2,25,"Pass"
"TIMETIME.060",25,"Female",3,2,26,"Pass"
"TIMETIME.061",23,"Female",3,2,20,"Pass"
"TIMETIME.062",21,"Female",4,1,NA,"Pass"
"TIMETIME.063",27,"Female",1,2,14,"Pass"
"TIMETIME.064",34,"Female",4,2,21,"Pass"
"TIMETIME.065",23,"Female",2,2,23,"Pass"
"TIMETIME.066",24,"Female",4,1,NA,"Pass"
"TIMETIME.067",21,"Female",2,1,NA,"Pass"
"TIMETIME.068",21,"Female",3,2,23,"Pass"
"TIMETIME.069",24,"Female",1,2,14,"Pass"
"TIMETIME.070",20,"Female",1,1,NA,"Pass"
"TIMETIME.071",21,"Female",1,1,NA,"Pass"
"TIMETIME.072",22,"Female",3,2,16,"Pass"
"TIMETIME.073",23,"Female",1,1,NA,"Pass"
"TIMETIME.074",24,"Female",1,2,19,"Pass"
"TIMETIME.075",30,"Female",3,2,16,"Pass"
"TIMETIME.076",26,"Female",3,2,14,"Pass"
"TIMETIME.077",22,"Female",4,1,NA,"Pass"
"TIMETIME.078",23,"Female",3,1,NA,"Pass"
"TIMETIME.079",20,"Female",2,2,18,"Pass"
"TIMETIME.080",23,"Female",4,1,NA,"Pass"
"TIMETIME.081",25,"Female",1,2,32,"Pass"
"TIMETIME.082",25,"Male",4,2,14,"Pass"
"TIMETIME.083",20,"Female",4,1,NA,"Pass"
"TIMETIME.084",27,"Male",1,1,NA,"Pass"
"TIMETIME.085",23,"Female",2,1,NA,"Pass"
"TIMETIME.086",25,"Female",4,1,NA,"Pass"
"TIMETIME.087",29,"Female",4,1,NA,"Pass"
"TIMETIME.088",28,"Female",3,1,NA,"Pass"
"TIMETIME.089",20,"Female",2,1,NA,"Pass"
"TIMETIME.090",22,"Female",2,2,18,"Pass"
"TIMETIME.091",26,"Female",3,2,14,"Pass"
"TIMETIME.092",19,"Male",2,2,21,"Pass"
"TIMETIME.093",26,"Female",1,1,NA,"Pass"
"TIMETIME.094",18,"Female",4,1,NA,"Pass"
"TIMETIME.095",22,"Female",2,2,14,"Pass"
"TIMETIME.096",20,"Female",1,2,23,"Pass"
"TIMETIME.097",24,"Female",4,2,16,"Pass"
"TIMETIME.098",35,"Male",3,2,14,"Pass"
"TIMETIME.099",34,"Female",2,2,20,"Pass"
"TIMETIME.100",31,"Male",2,2,14,"Pass"
"TIMETIME.101",25,"Male",4,2,35,"Pass"
"TIMETIME.102",29,"Female",4,1,NA,"Pass"
"TIMETIME.103",18,"Female",3,2,15,"Pass"
"TIMETIME.104",27,"Female",1,2,16,"Pass"
"TIMETIME.105",22,"Male",4,1,NA,"Pass"
"TIMETIME.106",18,"Female",1,2,16,"Pass"
"TIMETIME.107",20,"Female",2,2,15,"Pass"
"TIMETIME.108",19,"Male",2,1,NA,"Pass"
"TIMETIME.109",18,"Female",1,2,16,"Pass"
"TIMETIME.110",23,"Female",4,2,14,"Pass"
"TIMETIME.111",24,"Female",2,1,NA,"Pass"
"TIMETIME.112",27,"Female",3,2,14,"Pass"
"TIMETIME.113",21,"Male",3,2,14,"Pass"
"TIMETIME.114",20,"Female",2,1,NA,"Pass"
"TIMETIME.115",27,"Male",4,1,NA,"Pass"
"TIMETIME.116",34,"Male",3,1,NA,"Pass"
"TIMETIME.117",22,"Female",4,2,14,"Pass"
"TIMETIME.118",18,"Male",4,1,NA,"Pass"
"TIMETIME.119",23,"Male",1,2,22,"Pass"
"TIMETIME.120",28,"Male",1,1,NA,"Pass"
